(7, 7, 1, 1), #pzs: 2, ts: 66, cpu_time: 0:00:09.875003, seed: 0
(8, 8, 1, 1), #pzs: 2, ts: 87, cpu_time: 0:00:20.466769, seed: 0
(7, 7, 1, 1), #pzs: 2, ts: 74, cpu_time: 0:00:10.969033, seed: 1
(7, 7, 1, 1), #pzs: 2, ts: 67, cpu_time: 0:00:10.092341, seed: 2
(7, 7, 1, 1), #pzs: 2, ts: 68, cpu_time: 0:00:10.258081, seed: 3
(8, 8, 1, 1), #pzs: 2, ts: 89, cpu_time: 0:00:21.059666, seed: 1
(9, 9, 1, 1), #pzs: 2, ts: 123, cpu_time: 0:00:44.350553, seed: 0
(7, 7, 1, 1), #pzs: 2, ts: 65, cpu_time: 0:00:10.133212, seed: 4
(8, 8, 1, 1), #pzs: 2, ts: 78, cpu_time: 0:00:18.617742, seed: 2
(7, 7, 1, 1), #pzs: 2, ts: 65, cpu_time: 0:00:09.891188, seed: 5
(7, 7, 1, 1), #pzs: 2, ts: 77, cpu_time: 0:00:11.503641, seed: 6
(7, 7, 1, 1), #pzs: 2, ts: 62, cpu_time: 0:00:09.320493, seed: 7
(8, 8, 1, 1), #pzs: 2, ts: 98, cpu_time: 0:00:23.195721, seed: 3
(10, 10, 1, 1), #pzs: 2, ts: 165, cpu_time: 0:01:26.406718, seed: 0
(9, 9, 1, 1), #pzs: 2, ts: 122, cpu_time: 0:00:43.961551, seed: 1
(7, 7, 1, 1), #pzs: 2, ts: 72, cpu_time: 0:00:10.700126, seed: 8
(7, 7, 1, 1), #pzs: 2, ts: 67, cpu_time: 0:00:09.987446, seed: 9
(7, 7, 1, 1), #pzs: 2, average_ts: 68.3, average_cpu_time: 0:00:10.273056
(8, 8, 1, 1), #pzs: 2, ts: 100, cpu_time: 0:00:23.352920, seed: 4
(8, 8, 1, 1), #pzs: 2, ts: 101, cpu_time: 0:00:23.403856, seed: 5
(9, 9, 1, 1), #pzs: 2, ts: 133, cpu_time: 0:00:47.127349, seed: 2
(8, 8, 1, 1), #pzs: 2, ts: 90, cpu_time: 0:00:20.803440, seed: 6
(10, 10, 1, 1), #pzs: 2, ts: 158, cpu_time: 0:01:21.358257, seed: 1
(8, 8, 1, 1), #pzs: 2, ts: 107, cpu_time: 0:00:24.286314, seed: 7
(9, 9, 1, 1), #pzs: 2, ts: 134, cpu_time: 0:00:46.674394, seed: 3
(8, 8, 1, 1), #pzs: 2, ts: 97, cpu_time: 0:00:22.112627, seed: 8
(8, 8, 1, 1), #pzs: 2, ts: 92, cpu_time: 0:00:20.962488, seed: 9
(8, 8, 1, 1), #pzs: 2, average_ts: 93.9, average_cpu_time: 0:00:21.826154
(9, 9, 1, 1), #pzs: 2, ts: 120, cpu_time: 0:00:41.605898, seed: 4
(10, 10, 1, 1), #pzs: 2, ts: 166, cpu_time: 0:01:24.081680, seed: 2
(9, 9, 1, 1), #pzs: 2, ts: 134, cpu_time: 0:00:46.247980, seed: 5
(9, 9, 1, 1), #pzs: 2, ts: 129, cpu_time: 0:00:44.543865, seed: 6
(10, 10, 1, 1), #pzs: 2, ts: 182, cpu_time: 0:01:31.854769, seed: 3
(9, 9, 1, 1), #pzs: 2, ts: 119, cpu_time: 0:00:41.068022, seed: 7
(9, 9, 1, 1), #pzs: 2, ts: 137, cpu_time: 0:00:47.098405, seed: 8
(10, 10, 1, 1), #pzs: 2, ts: 170, cpu_time: 0:01:25.861840, seed: 4
(9, 9, 1, 1), #pzs: 2, ts: 126, cpu_time: 0:00:43.377719, seed: 9
(9, 9, 1, 1), #pzs: 2, average_ts: 127.7, average_cpu_time: 0:00:44.605574
(10, 10, 1, 1), #pzs: 2, ts: 158, cpu_time: 0:01:19.551141, seed: 5
(10, 10, 1, 1), #pzs: 2, ts: 151, cpu_time: 0:01:15.557939, seed: 6
